file,number,text,lrml,text_old,comments
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.4,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Congregate, participate in group activities or where professional services or retail are provided (CA)","if( or( expression( function( is), atom( relation( activity), variable( building)), data( crowd)), expression( function( is), atom( relation( activity), variable( building)), data( educational)), expression( function( is), atom( relation( activity), variable( building)), data( personal service)), expression( function( equal), atom( relation( risk group), variable( building)), data( ca)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))","It covers buildings or parts of buildings where people: Congregate, participate in group activities or where professional services or retail are provided (CA)","Tacit
?CrowdToGroup
Abstract"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.5,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Work (WB - Business, professional services, industrial)","if( or( expression( function( is), atom( relation( activity), variable( building)), data( business)), expression( function( is), atom( relation( activity), variable( building)), data( professional service)), expression( function( is), atom( relation( activity), variable( building)), data( industrial)), expression( function( equal), atom( relation( risk group), variable( building)), data( wb)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))",It covers buildings or parts of buildings where people: Work (WB),"Tacit
UnpredictableEncodingsFixed
TACIT-EXPERIMENT"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.6,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Store goods and other materials (WS - Storage and trade service),"if( or( expression( function( is), atom( relation( activity), variable( building)), data( storage)), expression( function( is), atom( relation( activity), variable( building)), data( trade service)), expression( function( equal), atom( relation( risk group), variable( building)), data( ws)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))",It covers buildings or parts of buildings where people: Store goods and other materials (WS),"Tacit
TACIT-EXPERIMENT
Abstract"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.7,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Park vehicles (VP).,"if( or( expression( function( is), atom( relation( activity), variable( building)), data( vehicle parking)), expression( function( equal), atom( relation( risk group), variable( building)), data( vp)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))",It covers buildings or parts of buildings where people: Park vehicles (VP).,Tacit
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.1,"1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for the building shall be that of the primary risk group.","if( and( expression( function( greater than), expression( function( count), atom( relation( activity), variable( building))), data( 1)), expression( rulestatement( expression( function( in), expression( function( max), atom( relation( risk group), variable( activity))), data( building))), appliedstatement( expression( function( define), atom( relation( stringency), variable( risk group)), data( x0)))))), then( obligation( expression( function( is), atom( relation( risk group), variable( building)), data( x0))))","1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular firecell within a building shall be that of the primary risk group.","Define
Complex
NotLogicallySound
DefineNamedVariable
NotConnectedVariables
TODO"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.2,"If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular firecell within a building shall be that of the primary risk group.","if( and( expression( function( greater than), expression( function( count), atom( relation( activity), variable( firecell))), data( 1)), expression( rulestatement( expression( function( in), expression( function( max), atom( relation( risk group), variable( activity))), data( firecell))), appliedstatement( expression( function( define), atom( relation( stringency), variable( risk group)), data( x0)))))), then( obligation( expression( function( is), atom( relation( risk group), variable( firecell)), data( x0))))","If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular firecell within a building shall be that of the primary risk group.",DomainKnowledge
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.3,"1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular room within a building shall be that of the primary risk group.","if( and( expression( function( greater than), expression( function( count), atom( relation( activity), variable( space))), data( 1)), expression( rulestatement( expression( function( in), expression( function( max), atom( relation( risk group), variable( activity))), data( space))), appliedstatement( expression( function( define), atom( relation( stringency), variable( risk group)), data( x0)))))), then( obligation( expression( function( is), atom( relation( risk group), variable( space)), data( x0))))","1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular firecell within a building shall be that of the primary risk group.",
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.4,"Other risk groups may be able to be incorporated within the same space provided these are ancillary to, and support, the primary risk groups.","if( and( expression( function( is), atom( relation( activity), variable( space)), data( ancillary)), expression( function( part of), atom( variable( space)), data( firecell)), expression( function( is), atom( relation( risk group), variable( firecell)), data( primary risk group)))), then( obligation( expression( function( is), atom( relation( risk group), variable( space)), data( primary risk group))))","Other risk groups may be able to be incorporated within the same space provided these are ancillary to, and support, the primary risk groups.",NotEncodedParts
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.3.0.1,"1.2.3 Depending on the particular building and the uses or activities within that building, there may be several primary risk groups, with one or more on each floor.","if( expression( function( has), atom( variable( building)), data( primary risk group))), then( permission( expression( function( greater than), expression( function( count), atom( variable( primary risk group))), data( 1))))","1.2.3 Depending on the particular building and the uses or activities within that building, there may be several primary risk groups, with one or more on each floor.","BadPrecondition
SomeDetailsNotEncoded"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.1.0.1,"1.4 Calculating occupant loads 1.4.1 The occupant load shall be determined from the risk group and number of people in each space of the building. The occupant load may need to be evaluated not only for each risk group but also for: a) A space or open floor area involving one or more activities, and b) A floor containing more than one risk group, and c) A single firecell, and d) Each floor within a firecell.","if( or( expression( rulestatement( expression( function( in), expression( function( for each), atom( variable( building storey))), data( firecell))), appliedstatement( and( expression( function( define), expression( function( count), atom( relation( occupant), variable( space))), data( x0)), expression( function( define), atom( relation( risk group), variable( space)), data( x1)), expression( function( include), atom( variable( space)), data( open floor area)), expression( function( greater than), expression( function( count), atom( relation( activities), variable( space))), data( 1))))), expression( rulestatement( expression( function( in), expression( function( for each), atom( variable( space))), data( firecell))), appliedstatement( and( expression( function( define), expression( function( count), atom( relation( occupant), variable( space))), data( x2)), expression( function( define), atom( relation( risk group), variable( space)), data( x3)), expression( function( include), atom( variable( space)), data( open floor area)), expression( function( greater than), expression( function( count), atom( relation( activities), variable( space))), data( 1))))))), then( and( obligation( expression( function( include), atom( relation( calculation), variable( occupant load)), data( x0))), obligation( expression( function( include), atom( relation( calculation), variable( occupant load)), data( x2))), obligation( expression( function( include), atom( relation( calculation), variable( occupant load)), data( x1))), obligation( expression( function( include), atom( relation( calculation), variable( occupant load)), data( x3)))))","1.4.1 The occupant load shall be determined from the risk group and number of people in each space of the building The occupant load may need to be evaluated not only for each risk group but also for: a) A space or open floor area involving one or more activities, and b) A floor containing more than one risk group, and c) A single firecell, and d) Each floor within a firecell.","Define
ObligationCorrectnessUnclear"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.2.0.1,1.4.2 Occupant loads shall be calculated from the occupant densities given in Table 1.2 based on the floor area of the part of the building housing the activity. Table 1.2 Occupant densities; Activity; Occupancy density (m2/ person).,"if( and( expression( function( define), atom( relation( floor area), variable( space)), data( x0)), expression( function( define), atom( variable( occupant load density)), data( x1)), obligation( expression( function( as per), atom( variable( x1)), data( table))), obligation( expression( function( equal), atom( relation( key), variable( table)), data( t1.2))))), then( obligation( expression( function( equal), atom( relation( occupant load), variable( space)), data( x0 / x1))))",1.4.2 Occupant loads shall be calculated from the occupant densities given in Table 1.2 based on the floor area of the part of the building housing the activity.,"TACIT-EXPERIMENT
SplitableEntities"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.3.0.1,"1.4 Calculating occupant loads 1.4.3 Duplication shall be avoided by: a) Ensuring that, where people may be involved in more than one activity, they are counted only once","if( and( expression( function( has), atom( variable( space)), data( occupant)), expression( function( in), atom( relation( involvement), variable( occupant)), data( activity)), expression( function( greater than), expression( function( count), atom( variable( activity))), data( 1)))), then( and( obligation( expression( function( include), atom( relation( calculation), variable( occupant load)), data( occupant))), expression( function( is), atom( relation( instance), variable( occupant)), data( distinct))))","1.4.3 Duplication shall be avoided by: a) Ensuring that, where people may be involved in more than one activity, they are counted only once, and b) Not including an occupant load for exitways, or for the occupant load determined for areas such as lift lobbies or sanitary facilities that are used intermittently by people already counted elsewhere in the building. Fixed seating",
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.4.0.1,"1.4.4 Occupant load assessment shall take account of the actual arrangement and number of seats for fixed seating (see Paragraph 3.7.4). Where additional floor area abuts the fixed seating, additional occupants are permitted in that floor area based on standing space density (see Table 1.2), provided the escape route is not obstructed.","if( and( expression( function( define), expression( function( count), atom( relation( seat), variable( fixed seating))), data( x0)), expression( function( adjoin), atom( variable( space)), data( fixed seating)), expression( function( has), atom( variable( space)), data( occupant)), expression( function( define), atom( relation( occupant load), variable( space)), data( x1)), not( expression( function( is), atom( variable( escape route)), data( obstructed))))), then( and( obligation( expression( function( is), atom( relation( activity), variable( space)), data( standing))), obligation( expression( function( as per), atom( variable( x1)), data( table))), obligation( expression( function( equal), atom( relation( key), variable( table)), data( t1.2))), obligation( expression( function( equal), atom( variable( occupant load)), data( x0 + x1)))))","1.4.4 Occupant load assessment shall take account of the actual arrangement and number of seats for fixed seating (see Paragraph 3.7.4). Where additional floor area abuts the fixed seating, additional occupants are permitted in that floor area based on standing space density, provided the escape route is not obstructed.","Problems
LoadVsDensity
ObligationIsPrecondition
TacitReference
TACIT-EXPERIMENT
FromVsAsPer
"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.5.0.1,"1.4.5 The requirements of this Acceptable Solution account for the fact that other people may be present in the building or firecell and additional calculations are not required when an occupant load is derived by bed spaces (i.e. for risk groups SM and SI). 1.4.6 For the purposes of risk group SI the term ‘bed’ means the number of people that are under care or detention. It can include people on: a) Beds, or b) Recliner or lounge chairs, or c) Dentist chairs, or d) Treatment tables, or e) Any other furniture where an occupant may be for a period of treatment, in care or detention.","if( and( or( expression( function( is), atom( relation( activity), variable( space)), data( sleeping)), expression( function( is), atom( relation( risk group), variable( space)), data( sm)), expression( function( is), atom( relation( risk group), variable( space)), data( si))), expression( function( define), expression( function( count), atom( variable( bed))), data( x0)), or( expression( function( include), atom( variable( bed)), data( recliner)), expression( function( include), atom( variable( bed)), data( lounge chair)), expression( function( include), atom( variable( bed)), data( dentist chair)), expression( function( include), atom( variable( bed)), data( treatment table)), expression( function( include), atom( variable( bed)), data( treatment furniture))), expression( function( is), atom( variable( x0)), data( occupant load)), expression( function( for), atom( variable( x0)), data( fire safety design)), expression( function( define), expression( function( count), atom( relation( occupant), variable( space))), data( x1)))), then( and( expression( function( equal), atom( relation( occupant load), variable( space)), data( x0)), obligation( not( expression( function( is), atom( variable( x1)), data( calculated))))))",1.4.5 The requirements of this Acceptable Solution account for the fact that other people may be present in the building or firecell and additional calculations are not required when an occupant load is derived by bed spaces (i.e. for risk groups SM and SI).,"Define
Tacit
WrongOr
Complex
TwoClauses"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.6.0.1,"1.4.6 For the purposes of risk group SI the term 'bed' means the number of people that are under care or detention. It can include people on: a) Beds, or b) Recliner or lounge chairs, or c) Dentist chairs, or d) Treatment tables, or e) Any other furniture where an occupant may be for a period of treatment, in care or detention.","if( and( or( expression( function( is), atom( relation( activity), variable( space)), data( sleeping)), expression( function( is), atom( relation( risk group), variable( space)), data( si))), expression( function( define), expression( function( count), atom( variable( bed))), data( x0)), or( expression( function( include), atom( variable( bed)), data( recliner)), expression( function( include), atom( variable( bed)), data( lounge chair)), expression( function( include), atom( variable( bed)), data( dentist chair)), expression( function( include), atom( variable( bed)), data( treatment table)), expression( function( include), atom( variable( bed)), data( treatment furniture))))), then( and( obligation( expression( function( is), atom( variable( x0)), data( occupant load))), expression( function( for), atom( variable( x0)), data( fire safety design))))","1.4.6 For the purposes of risk group SI the term 'bed' means the number of people that are under care or detention. It can include people on: a) Beds, or b) Recliner or lounge chairs, or c) Dentist chairs, or d) Treatment tables, or e) Any other furniture where an occupant may be for a period of treatment, in care or detention.","DifferentiateFacts
Define might be correct?
WrongPrecondition
Or statement sleeping seems wrong?
Define 
Tacit"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.7.0.1,"1.4.7 If, in a particular situation, the occupant load derived from Table 1.2 is clearly more than that which will occur, the basis of any proposal for a lesser occupant load shall be substantiated to the building consent authority.","if( and( expression( function( define), atom( variable( occupant load density)), data( x0)), expression( function( as per), atom( variable( x0)), data( table)), expression( function( equal), atom( relation( key), variable( table)), data( t1.2)), expression( function( define), atom( relation( occupant load), variable( space)), data( x1)), or( expression( function( is), atom( variable( x1)), data( actual)), expression( function( is), atom( variable( x1)), data( expected))), expression( function( greater than), atom( variable( x0)), data( x1)), expression( function( for), atom( variable( x1)), data( fire safety design)))), then( obligation( expression( function( is), atom( variable( x1)), data( justified))))","1.4.7 If, in a particular situation, the occupant load derived from Table 1.2 is clearly more than that which will occur, the basis of any proposal for a lesser occupant load shall be substantiated to the building consent authority.","Tacit
BuildingCodeTitle
Complex
MediumData"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.8.0.1,"1.4.8 If the maximum occupant load is greater than that calculated from Table 1.2, the higher number shall be used as the basis for the fire safety design and will need to be justified to the building consent authority.","if( and( expression( function( define), atom( variable( occupant load density)), data( x0)), expression( function( from), atom( variable( x0)), data( table)), expression( function( equal), atom( relation( key), variable( table)), data( t1.2)), expression( function( define), atom( relation( occupant load), variable( space)), data( x1)), or( expression( function( is), atom( variable( x1)), data( actual)), expression( function( is), atom( variable( x1)), data( expected))), expression( function( greater than), atom( variable( x1)), data( x0)))), then( and( obligation( expression( function( for), atom( variable( x1)), data( fire safety design))), obligation( expression( function( is), atom( variable( x1)), data( justified)))))","1.4.8 If the maximum occupant load is greater than that calculated from Table 1.2, the higher number shall be used as the basis for the fire safety design and will need to be justified to the building consent authority.","Define
MediumData"
lrml/NZ_NZBC-CAS2#1.1.lrml,r2.1.1.0.1,2.1.1 The floor area of firecells shall be limited in accordance with Table 2.1.,"if( expression( function( is), atom( variable( space)), data( firecell))), then( and( obligation( expression( function( comply with), atom( relation( floor area), variable( firecell)), data( table))), obligation( expression( function( equal), atom( relation( key), variable( table)), data( t2.1)))))",2.1.1 The floor area of firecells shall be limited in accordance with Table 2.1.,MediumData
lrml/NZ_NZBC-CAS2#1.1.lrml,r2.2.1.0.5,A direct connection to Fire and Emergency New Zealand is not required if automatic heat or smoke detection systems are provided in addition to the systems required by this Acceptable Solution.,"if( and( expression( function( is), atom( relation( fire safety system), variable( space)), data( supplementary)), expression( function( is), atom( relation( type), variable( fire safety system)), data( detection)), expression( function( is), atom( relation( method), variable( detection)), data( automatic)), or( expression( function( is), atom( relation( type), variable( detection)), data( heat)), expression( function( is), atom( relation( type), variable( detection)), data( smoke))))), then( obligation( not( expression( function( has), atom( variable( fire safety system)), data( fire service direct connection)))))",A direct connection to Fire and Emergency New Zealand is not required if automatic heat or smoke detection systems are provided in addition to the systems required by this Acceptable Solution.,"ObligationVsPermission
IsVsHas
ConnectionMissing
Tacit
MediumData"
lrml/NZ_NZBC-CAS2#1.1.lrml,r2.2.2.0.a.1,"a) In single storey early childhood centres, dedicated sleeping areas shall be protected with supplementary smoke detectors. The alarm system and any smoke detection system shall comply with NZS 4512.","if( and( expression( function( is), atom( relation( activity), variable( space)), data( early childhood)), expression( function( equal), expression( function( count), atom( variable( building storey))), data( 1)), expression( function( is), atom( relation( activity), variable( space)), data( sleeping)))), then( expression( rulestatement( expression( function( is), expression( function( for each), atom( relation( activity), variable( space))), data( sleeping))), appliedstatement( and( obligation( expression( function( has), atom( variable( space)), data( smoke detector))), obligation( expression( function( is), atom( variable( smoke detector)), data( supplementary))), obligation( expression( function( comply with), atom( variable( smoke detector)), data( nzs 4512)))))))","a) In single storey early childhood centres, dedicated sleeping areas shall be protected with supplementary smoke detectors. The alarm system and any smoke detection system shall comply with NZS 4512.",ForLoopUnnecessary
lrml/NZ_NZBC-CAS2#1.1.lrml,r2.2.2.0.b.1,"2.2.2 In addition to Paragraph 2.2.1, the fire safety systems required for firecells in early childhood centres shall be as follows: Where the escape height of the early childhood centre is greater than 2.0 m, a Type 7 system shall be installed throughout the building.","if( and( expression( function( is), atom( relation( activity), variable( space)), data( early childhood)), expression( function( greater than), atom( relation( escape height), variable( space)), data( baseunit( kind( metre)), value( 2.0))))), then( obligation( expression( function( is), atom( relation( fire safety system), variable( building)), data( type 7))))","2.2.2 In addition to Paragraph 2.2.1, the fire safety systems required for firecells in early childhood centres shall be as follows: Where the escape height of the early childhood centre is greater than 2.0 m, a Type 7 system shall be installed throughout the building.",FilteringRequiredByModel
lrml/NZ_NZBC-CAS2#1.1.lrml,r2.2.2.0.c.1,"2.2.2 In addition to Paragraph 2.2.1, the fire safety systems required for firecells in early childhood centres shall be as follows: If the early childhood centre is not located on the ground floor at least two separate places of safety shall be provided. Each place of safety shall be separated with fire separations designed to the property rating and have direct access to a safe path or final exit.","if( and( expression( function( is), atom( relation( activity), variable( space)), data( early childhood)), expression( function( define), atom( relation( elevation), variable( ground level)), data( x0)), expression( function( greater than), atom( relation( elevation), variable( space)), data( x0)))), then( and( obligation( expression( function( greater than equal), expression( function( count), atom( variable( place of safety))), data( 2))), obligation( expression( function( has), atom( variable( place of safety)), data( fire resistance rating))), obligation( expression( function( is), atom( relation( type), variable( fire resistance rating)), data( property rating))), or( obligation( expression( function( to), atom( relation( direct access), variable( place of safety)), data( safe path))), obligation( expression( function( to), atom( relation( direct access), variable( place of safety)), data( final exit))))))","2.2.2 In addition to Paragraph 2.2.1, the fire safety systems required for firecells in early childhood centres shall be as follows: If the early childhood centre is not located on the ground floor at least two separate places of safety shall be provided. Each place of safety shall be separated with fire separations designed to the property rating and have direct access to a safe path or final exit.","DefineVariableLong
Tacit
frrTypeVsType
SplitableEntities"
lrml/NZ_NZBC-CAS2#1.1.lrml,r2.2.4.0.1,"2.2.4 For risk group VP firecells that require a fire sprinkler system (refer to Table 2.2d), the fire sprinkler system does not need to be extended throughout the remainder of the building where the risk group VP firecells are fire separated from the adjacent firecells. The fire separation between adjacent firecells is required to be provided with the greater of the property rating of the adjacent firecells (refer to Table 2.4).","if( and( expression( function( is), atom( relation( risk group), variable( space)), data( vp)), expression( function( is), atom( variable( space)), data( firecell)), obligation( expression( function( has), atom( variable( firecell)), data( fire sprinkler system))), obligation( expression( function( as per), atom( relation( fire sprinkler system), variable( firecell)), data( table))), expression( function( equal), atom( relation( key), variable( table)), data( t2.2.d)), expression( function( has), atom( variable( space)), data( fire separation)), expression( function( to), atom( variable( fire separation)), data( adjacent space)))), then( and( permission( not( expression( function( throughout), atom( relation( installation), variable( fire sprinkler system)), data( building)))), obligation( expression( function( define), expression( function( max), atom( relation( property rating), variable( adjacent space))), data( x0))), obligation( expression( function( equal), atom( relation( property rating), variable( fire separation)), data( x0)))))","2.2.4 For risk group VP firecells that require a fire sprinkler system (refer to Table 2.2d), the fire sprinkler system does not need to be extended throughout the remainder of the building where the risk group VP firecells are fire separated from the adjacent firecells. The fire separation between adjacent firecells is required to be provided with the greater of the property rating of the adjacent firecells (refer to Table 2.4).",OneSplitableEntity
