CLAUSE_NUMBER,text,file,input,spaced_lrml,random_split,doc_split
2.1.1.1,"For housing, communal residential, communal non-residential assembly care, and commercial buildings, the building envelope shall be provided with construction that provides adequate thermal resistance. The minimum required construction R-values shall be determined through the use of: The Schedule method in Subsection 2.1.2, or The Calculation method in Subsection 2.1.3, or The Modelling method in H1/VM1.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 For housing, communal residential, communal non-residential assembly care, and commercial buildings, the building envelope shall be provided with construction that provides adequate thermal resistance. The minimum required construction R-values shall be determined through the use of: The Schedule method in Subsection 2.1.2, or The Calculation method in Subsection 2.1.3, or The Modelling method in H1/VM1.
Target: ","if( is( building. classified use, or( housing, communal residential, communal non-residential assembly care, commercial))), then( obligation( and( has( building. envelope, construction), is( construction. thermal resistance, adequate), define( r value, x0), or( as per( r value, nzbc h1as1 2.1.2), as per( r value, nzbc h1as1 2.1.3), as per( r value, h1/vm1 modelling method)))))",1,1
2.1.1.5,"The requirements for the Schedule method and Calculation method are separated based on the relevant climate zone for the building. A list of the New Zealand climate zones is provided in Appendix C. For building elements with embedded heating systems, the minimum construction R-values shall be determined through the Schedule method. These apply whenever building elements that are part of the thermal envelope include heating systems and may not be reduced by applying the Calculation method in Subsection 2.1.3.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 The requirements for the Schedule method and Calculation method are separated based on the relevant climate zone for the building. A list of the New Zealand climate zones is provided in Appendix C. For building elements with embedded heating systems, the minimum construction R-values shall be determined through the Schedule method. These apply whenever building elements that are part of the thermal envelope include heating systems and may not be reduced by applying the Calculation method in Subsection 2.1.3.
Target: ","if( and( has( building. element, embedded heating system), part of( building. element, thermal envelope))), then( obligation( and( define( climate zone, x0), as per( building. location, nzbc h1as1 appendix c), if( in( climate zone, or( zone 1, zone 2, zone 3))), then( comply with( building. element. construction, schedule method)), not( apply( building. element. construction, calculation method, and( nzbc h1as1 2.1.3, has( building. element, heating system)))))))",1,1
2.1.1.5,The construction R-values of individual building elements shall be determined in accordance with Subsection 2.1.4.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 The construction R-values of individual building elements shall be determined in accordance with Subsection 2.1.4.
Target: ","if( exist( building element)), then( obligation( as per( building element. r-value, h1as1 2.1.4)))",1,1
2.1.1.5,"Insulation materials shall be installed in a way that achieves the intended thermal performance in buildings without compromising the durability and safety of insulation or building elements and the health and safety of installers and building occupants. NZS 4246 sections 5, 6, 7 and 10 provide acceptable methods for installing bulk thermal insulation in light-timber and steel-framed residential buildings.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Insulation materials shall be installed in a way that achieves the intended thermal performance in buildings without compromising the durability and safety of insulation or building elements and the health and safety of installers and building occupants. NZS 4246 sections 5, 6, 7 and 10 provide acceptable methods for installing bulk thermal insulation in light-timber and steel-framed residential buildings.
Target: ","if( has( insulation, material)), then( obligation( and( towards( insulation. performance, intended), not( compromise( insulation. durability, building safety, installer safety, occupant safety)), comply with( insulation. installation, and( nzs 4246 5, nzs 4246 6, nzs 4246 7, nzs 4246 10)))))",1,1
2.1.2.1,"The schedule method shall only be used where: The glazing area is 30% or less of the total wall area; and The combined glazing area on the east, south, and west facing walls (refer to Appendix D) is 30% or less of the combined total area of these walls; and The skylight area is no more than 1.5 m2 or 1.5% of the total roof area (whichever is greater); The opaque door area is no more than 6 m2 or 6% of the total wall area (whichever is greater).",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 The schedule method shall only be used where: The glazing area is 30% or less of the total wall area; and The combined glazing area on the east, south, and west facing walls (refer to Appendix D) is 30% or less of the combined total area of these walls; and The skylight area is no more than 1.5 m2 or 1.5% of the total roof area (whichever is greater); The opaque door area is no more than 6 m2 or 6% of the total wall area (whichever is greater).
Target: ","if( and( is( method, schedule), has( glazing, area), less than equal( glazing. area, 0.3 * wall. area), define( combined. glazing. area, sum( for each( wall. orientation), and( is( wall. orientation, or( east, south, west)), wall. glazing. area))), less than equal( combined. glazing. area, 0.3 * combined. wall. area), has( skylight, area), less than equal( skylight. area, max( 1.5 m2, 0.015 * roof. area)), has( opaque door, area), less than equal( opaque door. area, max( 6 m2, 0.06 * wall. area)))), then( use( method, schedule)))",1,1
2.1.2.2,"Building elements that are part of the thermal envelope shall have minimum construction R-values no less than those in: For building elements that contain embedded heating systems, those in Table 2.1.2.2A; or For building elements that do not contain embedded heating systems, those in Table 2.1.2.2B.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Building elements that are part of the thermal envelope shall have minimum construction R-values no less than those in: For building elements that contain embedded heating systems, those in Table 2.1.2.2A; or For building elements that do not contain embedded heating systems, those in Table 2.1.2.2B.
Target: ","if( part of( building element, thermal envelope)), then( obligation( and( greater than equal( construction. r-value, value), as per( value, or( nzbc h1as1 t2.1.2.2a, nzbc h1as1 t2.1.2.2b)), for( building element, heating system), in( heating system, embedded), in( value, nzbc h1as1 t2.1.2.2a), not( for( building element, heating system)), in( value, nzbc h1as1 t2.1.2.2b)))))",1,1
2.1.2.2,"Table 2.1.2.2B or ii) alternatively, for housing only, for building consent applications submitted before 1 May 2023, those in Table 2.1.2.2C.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Table 2.1.2.2B or ii) alternatively, for housing only, for building consent applications submitted before 1 May 2023, those in Table 2.1.2.2C.
Target: ","if( and( is( building. type, housing), before( building consent application, 1 May 2023))), then( comply with( building. requirements, or( nzbc h1as1 t2.1.2.2B, nzbc h1as1 t2.1.2.2C)))",1,1
2.1.2.3,"For building consent applications submitted before 2 November 2023, the minimum construction R-values for windows and doors in climate zones 1 and 2 are permitted to be reduced to R0.37 m²·K/W.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 For building consent applications submitted before 2 November 2023, the minimum construction R-values for windows and doors in climate zones 1 and 2 are permitted to be reduced to R0.37 m²·K/W.
Target: ","if( and( is( building consent application, submitted before 2 November 2023), is( window or door. location, climate zone 1 or 2))), then( permission( reduce( window or door. construction r-value, to( 0.37 m²·K/W))))",1,1
2.1.3.1,"This method compares the proposed building with the reference building which is insulated in accordance with the Schedule method. This method permits roof, wall, floor, window, door, and skylight insulation combinations which differ from these tables, but the building must perform at least as well as the reference building.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 This method compares the proposed building with the reference building which is insulated in accordance with the Schedule method. This method permits roof, wall, floor, window, door, and skylight insulation combinations which differ from these tables, but the building must perform at least as well as the reference building.
Target: ","if( compare( building, reference building)), then( obligation( and( is( building, insulated), as per( insulation, schedule method), or( and( is( insulation, roof), is( insulation, wall), is( insulation, floor), is( insulation, window), is( insulation, door), is( insulation, skylight)), not( equal( insulation, table)), perform( building, at least, reference building))))",1,1
2.1.3.2,The calculation method shall only be used where the glazing area is 40% or less of the total wall area.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 The calculation method shall only be used where the glazing area is 40% or less of the total wall area.
Target: ","if( and( is( calculation method, for( glazing, wall)), less than equal( divide( glazing. area, wall. area), 0.4))), then( obligation( use( calculation method)))",1,1
2.1.3.3,Building elements that form part of the thermal envelope with construction R-values different from those in the Schedule method in Subsection 2.1.2 may be used providing the heat loss of the proposed building (HLProposed) is less than or equal to the heat loss of the reference building (HLReference) for the relevant climate zone and window area.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Building elements that form part of the thermal envelope with construction R-values different from those in the Schedule method in Subsection 2.1.2 may be used providing the heat loss of the proposed building (HLProposed) is less than or equal to the heat loss of the reference building (HLReference) for the relevant climate zone and window area.
Target: ","if( and( is( building element, part of thermal envelope), not( equal( construction. r-value, schedule method)), define( heat loss. proposed, HLProposed), define( heat loss. reference, HLReference), less than equal( heat loss. proposed, heat loss. reference), for( building, relevant climate zone), has( building, window area))), then( permission( use( building element, construction))))",1,1
2.1.3.4,"HLReference shall be calculated using the equations in Table 2.1.3.4A. or alternatively, for housing only, for building consent applications submitted before 1 May 2023, those in Table 2.1.3.4B.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 HLReference shall be calculated using the equations in Table 2.1.3.4A. or alternatively, for housing only, for building consent applications submitted before 1 May 2023, those in Table 2.1.3.4B.
Target: ","if( is( building, housing)), then( permission( and( as per( hlreference, nzbc h1as1 t2.1.3.4b), before( building consent application, '1 May 2023')))); else( obligation( as per( hlreference, nzbc h1as1 t2.1.3.4a)))",1,1
2.1.3.4,TABLE 2.1.3.4A: Reference building heat loss equations Paragraph 2.1.3.4 a) Climate zone(1) Reference building heat loss equation(3) Aroof 1 and 2(2) HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.5 Aother floor + 2.5 A30% of total wall area HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.5 Aother floor + 2.5 A30% of total wall area HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.5 Aother floor + 2.8 A30% of total wall area HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.6 Aother floor + 3.0 A30% of total wall area HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.7 Aother floor + 3.0 A30% of total wall area Notes: (1) Climate zone boundaries are shown in Appendix C.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 TABLE 2.1.3.4A: Reference building heat loss equations Paragraph 2.1.3.4 a) Climate zone(1) Reference building heat loss equation(3) Aroof 1 and 2(2) HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.5 Aother floor + 2.5 A30% of total wall area HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.5 Aother floor + 2.5 A30% of total wall area HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.5 Aother floor + 2.8 A30% of total wall area HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.6 Aother floor + 3.0 A30% of total wall area HLReference = Askylight + 6.6 A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.7 Aother floor + 3.0 A30% of total wall area Notes: (1) Climate zone boundaries are shown in Appendix C.
Target: ","if( and( is( building, reference), has( building, heat loss equation)), then( and( define( climate zone, x0), as per( heat loss equation, and( nzbc h1as1 t2.1.3.4a, nzbc h1as1 2.1.3.4)), is( roof. type, or( aroof 1, aroof 2)), define( roof. area, x1), define( wall. area, x2), define( slab on ground floor. area, x3), define( other floor. area, x4), define( wall. area 30%, x5), equal( heat loss equation, and( askylight, '+', 6.6, '*', x1, '+', 2.0, '*', x2, '+",1,1
2.1.3.4,"(2) For building consent applications submitted before 2 November 2023 for climate zones 1 and 2, HLReference is permitted to be calculated in accordance with Paragraph 2.1.3.5.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 (2) For building consent applications submitted before 2 November 2023 for climate zones 1 and 2, HLReference is permitted to be calculated in accordance with Paragraph 2.1.3.5.
Target: ","if( and( before( building consent application, '2 November 2023'), in( climate zone, or( 1, 2))), then( permission( calculate( hlreference, nzbc h1as1 2.1.3.5))))",1,1
2.1.3.5,"For building consent applications submitted before 2 November 2023 for climate zones 1 and 2, HLReference is permitted to be calculated using Equation 1. A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.5 Equation 1: HLReference = Askylight + 6.6 Aother floor + 2.5 A30% of total wall area where: HLReference is the heat loss of the reference building, and Aroof is the roof area of the proposed building (m2), and Askylight is the skylight area of the proposed building (m2), and A70% of total wall area equals 70% of the total wall area of the proposed building (m2), and A30% of total wall area equals 30% of the total wall area of the proposed building (m2), and Aslab-on-ground floor is the area of slab-on-ground floors in the thermal envelope of the proposed building (m2), and Aotherfloor is the area of other floors in the thermal envelope of the proposed building (m2).",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 For building consent applications submitted before 2 November 2023 for climate zones 1 and 2, HLReference is permitted to be calculated using Equation 1. A70% of the total wall area + 2.0 Aslab-on-ground floor + 1.5 Equation 1: HLReference = Askylight + 6.6 Aother floor + 2.5 A30% of total wall area where: HLReference is the heat loss of the reference building, and Aroof is the roof area of the proposed building (m2), and Askylight is the skylight area of the proposed building (m2), and A70% of total wall area equals 70% of the total wall area of the proposed building (m2), and A30% of total wall area equals 30% of the total wall area of the proposed building (m2), and Aslab-on-ground floor is the area of slab-on-ground floors in the thermal envelope of the proposed building (m2), and Aotherfloor is the area of other floors in the thermal envelope of the proposed building (m2).
Target: ","if( and( apply to( building consent application, before( '2 November 2023')), in( climate zone, or( 1, 2))), then( define( hl reference, and( sum( 0.7 * total wall area), 2.0 * slab on ground floor, 1.5 * equation 1)), where( hl reference, heat loss of reference building), where( a roof, roof area of proposed building), where( a skylight, skylight area of proposed building), where( a 70% of total wall area, 0.7 * total wall area), where( a 30% of total wall area, 0.3 * total wall area), where( a slab on ground floor, area of slab on ground floors in thermal envelope), where( a other floor, area of other floors in thermal envelope), define( equation 1, and( a skylight, 6.6 * a other floor, 2.5 * a 30% of total wall area))))",1,1
2.1.3.6,HLProposed shall be calculated as the sum of all the building element heat losses according to Equation 2.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 HLProposed shall be calculated as the sum of all the building element heat losses according to Equation 2.
Target: ","if( exist( building)), then( obligation( define( hl proposed, sum( building element. heat loss), as per( equation 2, nzbc h1as1))))",1,1
2.1.3.6,"Equation 2: HLProposed = Aglazing + Aroof + Rroof Rwall Rfloor Rwindow Rdoor, opaque Rskylight Adoor, opaque + Afloor + Awall + Askylight where: HLProposed is the heat loss of the proposed building, and Aroof is the roof area of the proposed building (m2), and Rroof is the construction R-value of the roof in the proposed thermal envelope (m2·K/W), and Awall is the wall area of the proposed building (m2), and Rwall is the construction R-value of the wall in the proposed thermal envelope (m2·K/W), and Afloor is the thermal envelope floor area of the proposed building (m2), and Rfloor is the construction R-value of the floor in the proposed thermal envelope (m2·K/W), and Aglazing is the glazing area of the proposed building (m2), and Rwindow is the construction R-value of the vertical windows, and glazing in doors, in the proposed thermal envelope (m2·K/W) and Adoor,opaque is the opaque door area of the proposed building (m2) and Rdoor,opaque is the construction R-value of opaque door areas in the proposed thermal envelope (m2·K/W) and Askylight is the skylight area of the proposed building (m2) and Rskylight is the construction R-value of the skylight(s) in the proposed thermal envelope (m2·K/W).",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Equation 2: HLProposed = Aglazing + Aroof + Rroof Rwall Rfloor Rwindow Rdoor, opaque Rskylight Adoor, opaque + Afloor + Awall + Askylight where: HLProposed is the heat loss of the proposed building, and Aroof is the roof area of the proposed building (m2), and Rroof is the construction R-value of the roof in the proposed thermal envelope (m2·K/W), and Awall is the wall area of the proposed building (m2), and Rwall is the construction R-value of the wall in the proposed thermal envelope (m2·K/W), and Afloor is the thermal envelope floor area of the proposed building (m2), and Rfloor is the construction R-value of the floor in the proposed thermal envelope (m2·K/W), and Aglazing is the glazing area of the proposed building (m2), and Rwindow is the construction R-value of the vertical windows, and glazing in doors, in the proposed thermal envelope (m2·K/W) and Adoor,opaque is the opaque door area of the proposed building (m2) and Rdoor,opaque is the construction R-value of opaque door areas in the proposed thermal envelope (m2·K/W) and Askylight is the skylight area of the proposed building (m2) and Rskylight is the construction R-value of the skylight(s) in the proposed thermal envelope (m2·K/W).
Target: ","if( has( building, thermal envelope)), then( define( hl_proposed, and( glazing_area, roof_area, wall_area, floor_area, skylight_area, door_area, opaque_door_area, r_values))), where( glazing_area, is( building. area, glazing), roof_area, is( building. area, roof), wall_area, is( building. area, wall), floor_area, is( building. area, floor), skylight_area, is( building. area, skylight), door_area, is( building. area, door), opaque_door_area, is( building. area, opaque door), r_values, and( r_roof, r_wall, r_floor, r_window, r_door, r_skylight)), and( equal( hl_proposed, 'glazing_area + roof_area + wall_area + floor_area + skylight_area + door_area + opaque_door_area + r_roof + r_wall + r_floor + r_window + r_door + r_skylight')))",1,1
2.1.3.8,"The construction R-value in the proposed building for roofs, walls, and floors, that form part of the building thermal envelope shall be at least 50% of the construction R-value of the corresponding building element in the reference building equation.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 The construction R-value in the proposed building for roofs, walls, and floors, that form part of the building thermal envelope shall be at least 50% of the construction R-value of the corresponding building element in the reference building equation.
Target: ","if( is( building. thermal envelope, true)), then( obligation( and( define( reference R-value, x0), define( proposed R-value, x1), greater than equal( proposed R-value, '0.5 * x0'))))",1,1
2.1.4.1  Acceptable methods for determining the thermal resistance (R-values) of building elements are:,"For walls, roofs and floors other than slab-on-ground floors, contained in NZS 4214; and For windows, doors and skylights, specified in Appendix E; and For slab-on-ground floors, specified in Appendix F.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 For walls, roofs and floors other than slab-on-ground floors, contained in NZS 4214; and For windows, doors and skylights, specified in Appendix E; and For slab-on-ground floors, specified in Appendix F.
Target: ","if( or( part of( structure, nzbc h1as1), part of( window, appendix e), part of( door, appendix e), part of( skylight, appendix e), part of( floor, appendix f))), then( apply to( nzbc h1as1))",1,1
2.1.4.2,The thermal resistance (R-values) of insulation materials may be verified by using AS/NZS 4859.1.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 The thermal resistance (R-values) of insulation materials may be verified by using AS/NZS 4859.1.
Target: ","if( exist( insulation)), then( obligation( verify( insulation. thermal resistance, nzs 4859.1)))",1,1
2.1.4.4,"The R-value of an unconditioned air-space between the thermal envelope and the building envelope may be included in the construction R-value. This can include a subfloor, roof space, garage, and/or conservatory.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 The R-value of an unconditioned air-space between the thermal envelope and the building envelope may be included in the construction R-value. This can include a subfloor, roof space, garage, and/or conservatory.
Target: ","if( and( has( air space, unconditioned), between( air space, thermal envelope, building envelope))), then( include( construction. r value, air space. r value))",1,1
2.2.1.1,"Housing, communal residential, communal non-residential assembly care, and commercial buildings shall have windows, doors, vents or other building elements that allow significant movement of air, to be constructed in such a way that they are capable of being fixed in the closed position.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Housing, communal residential, communal non-residential assembly care, and commercial buildings shall have windows, doors, vents or other building elements that allow significant movement of air, to be constructed in such a way that they are capable of being fixed in the closed position.
Target: ","if( and( is( building. type, or( housing, communal residential, communal non-residential assembly care, commercial)), has( building. element, and( window, door, vent))), then( obligation( and( is( building. element, air movement capable), is( building. element, fixed in closed position))))",1,1
2.3.1.1,Requirements to account for heat gains from solar radiation are satisfied by complying with the requirements for thermal resistance in Section 2.1.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Requirements to account for heat gains from solar radiation are satisfied by complying with the requirements for thermal resistance in Section 2.1.
Target: ","if( exist( building)), then( comply with( building. thermal resistance, h1as1 2.1))",1,1
3.1.1.1,Hot water systems for sanitary fixtures and sanitary appliances having a storage water heater capacity of up to 700 litres shall comply with NZS 4305.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Hot water systems for sanitary fixtures and sanitary appliances having a storage water heater capacity of up to 700 litres shall comply with NZS 4305.
Target: ","if( and( is( hot water system. type, for sanitary fixtures and appliances), less than equal( hot water system. storage capacity, 700 litres))), then( obligation( comply with( hot water system, nzs 4305)))",1,1
1.1.3,Toilet facilities for males must contain WC pans and basins and may contain urinals.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Toilet facilities for males must contain WC pans and basins and may contain urinals.
Target: ","if( is( toilet. gender, male)), then( obligation( and( has( toilet, wc pan), has( toilet, basin), may( have( toilet, urinal)))))",1,1
1.1.4,Showers or baths are required for buildings where: People live or are accommodated People engage in active recreation Children under the age of five are supervised or educated People work in occupations where they get dirty and require showers before leaving work.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Showers or baths are required for buildings where: People live or are accommodated People engage in active recreation Children under the age of five are supervised or educated People work in occupations where they get dirty and require showers before leaving work.
Target: ","if( or( is( building. activity, or( living, accomodation)), is( building. activity, active recreation), and( is( person. age, under 5), is( person. supervision, supervised or educated)), is( building. activity, dirty work))), then( and( has( building, shower), or( has( building, bath), has( building, both))))",1,1
1.1.5,"The number of sanitary fixtures for the uses in Paragraphs 1.1.2 , 1.1.3 and 1.1.4 is calculated for: WC pans, urinals and basins – use Figure 1 , Table 1 , Table 3 and Table 4 .",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 The number of sanitary fixtures for the uses in Paragraphs 1.1.2 , 1.1.3 and 1.1.4 is calculated for: WC pans, urinals and basins – use Figure 1 , Table 1 , Table 3 and Table 4 .
Target: ","if( or( is( space. use, wc pan), is( space. use, urinal), is( space. use, basin))), then( obligation( and( define( count( space. fixture), x0), as per( x0, and( nzbc g1as1 f1, nzbc g1as1 t1, nzbc g1as1 t3, nzbc g1as1 t4)))))",1,1
1.1.6,Provision of sanitary fixtures including those facilities for persons with disabilities are given in Tables 1 and 2 .,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Provision of sanitary fixtures including those facilities for persons with disabilities are given in Tables 1 and 2 .
Target: ","if( exist( building), then( obligation( and( has( building, sanitary fixtures), as per( sanitary fixtures, and( nzbc g1as1 t1, nzbc g1as1 t2))))))",1,1
1.1.7,"Where separate facilities are provided, the male facility may include urinals.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Where separate facilities are provided, the male facility may include urinals.
Target: ","if( exist( male facility)), then( permission( include( male facility, urinals)))",1,1
1.1.8,"Where unisex facilities are provided, they shall: Be located in a self contained compartment offering full privacy by way of full height doors and walls, Contain a WC pan, basin, sanitary towel disposal equipment (where required), but no urinal, and Be located so that access is not via an area restricted to one sex.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Where unisex facilities are provided, they shall: Be located in a self contained compartment offering full privacy by way of full height doors and walls, Contain a WC pan, basin, sanitary towel disposal equipment (where required), but no urinal, and Be located so that access is not via an area restricted to one sex.
Target: ","if( is( facility. type, unisex)), then( obligation( and( has( facility, compartment), is( compartment. privacy, full), has( compartment, door), is( door. height, full), has( compartment, wall), is( wall. height, full), has( facility, wc pan), has( facility, basin), has( facility, sanitary towel disposal equipment), not( has( facility, urinal)), not( through( facility. access, restricted area, one sex))))",1,1
1.2.1,"In buildings, other than housing and those used exclusively by preadolescents, sanitary facilities for females shall have provision for sanitary towel disposal by either: Installing incinerators, macerators or similar disposal equipment, or Providing space for a portable disposal system.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 In buildings, other than housing and those used exclusively by preadolescents, sanitary facilities for females shall have provision for sanitary towel disposal by either: Installing incinerators, macerators or similar disposal equipment, or Providing space for a portable disposal system.
Target: ","if( and( is( building. type, not( or( housing, preadolescent))), has( female. sanitary facility, provision)), then( obligation( or( has( provision, incinerator), has( provision, macerator), has( provision, similar disposal equipment), has( provision, portable disposal system))))",1,1
