file,number,text,lrml,paraphrase,random_split,doc_split,selected_round_1,selected_round_2
NZ_NZBC-CAS2#1.1,1.4.8.0.1,"1.4.8 If the maximum occupant load is greater than that calculated from Table 1.2, the higher number shall be used as the basis for the fire safety design and will need to be justified to the building consent authority.","if(and(asPer(space.occupantLoad,nzbc_cas2_t1.2),greaterThan(space.maximumOccupantLoad,occupantLoad))),then(obligation(and(for(space.maximumOccupantLoad,fireSafetyDesign),approve(buildingConsentAuthority,maximumOccupantLoad))))","If the maximum occupant load of a space is greater than the occupant load of the space as from C/AS2 Table 1.2, then the space's maximum occupant load shall be used for the fire safety design and the building consent authority shall approve the maximum occupant load.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,2.1.1.0.1,2.1.1 The floor area of firecells shall be limited in accordance with Table 2.1.,"if(exist(firecell)),then(obligation(asPer(firecell.floorArea,nzbc_cas2_t2.1)))","If a firecell exists, then the floor area of firecells shall be limited in accordance with C/AS2 Table 2.1.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.1.0.1,This Acceptable Solution is one of three Acceptable Solutions that provide a means of establishing compliance with NZBC Clauses C1 to C6 Protection from Fire. It can be used for the building activities covered by risk groups specified in Paragraph 1.1.1 and described in Table 1.1.,"if(and(complyWith(building,nzbc_cas2),asPer(building.riskGroup,and(nzbc_cas2_1.1.1,nzbc_cas2_t1.1)))),then(complyWith(building.fireProtection,and(nzbc_c1,nzbc_c2,nzbc_c3,nzbc_c5,nzbc_c6)))","If a building complies to CAS2 and the building risk groups are in C/AS2 Paragraph 1.1.1 and Table 1.1, then the building complies with NZBC Clauses C1, C2, C3, C4, C5, and C6.",2,1,,-1
NZ_NZBC-CAS2#1.1,1.1.0.2,"C1-C6 Protection from Fire; For risk group SH, please refer to Acceptable Solution C/AS1.","if(is(building.riskGroup,sh)),then(permission(complyWith(building,nzbc_cas1)))","If the building's risk group is SH, then the building may comply with C/AS1.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.1.0.3,"C1-C6 Protection from Fire; For backcountry huts, please refer to Acceptable Solution BCH/AS1.","if(is(building.activity,backcountryHut)),then(permission(complyWith(building,nzbc_bchas1)))","If the building's activity is backcountry hut, then the building may comply with BCH/AS1.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.1.1.0.1,1.1.1 The scope of this Acceptable Solution is restricted to all risk groups listed in Table 1.1 except for risk group SH (refer to C/AS1).,"if(and(asPer(building.riskGroup,nzbc_cas2_t1.1),not(is(building.riskGroup,sh)))),then(applyTo(nzbc_cas2,building))","If the building risk group is listed in Table 1.1 and the building's risk group is not SH, then C/AS1 applies to the building.",1,1,1.0,1
NZ_NZBC-CAS2#1.1,1.1.1.0.2,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Sleep (SM).,"if(or(is(building.activity,sleeping),is(building.riskGroup,sm),and(has(building,part),or(is(part.activity,sleeping),is(part.riskGroup,sm))))),then(applyTo(nzbc_cas2,and(building,part)))","If a buildings or parts of buildings has activity Sleeping or risk group SM, then CAS2 applies to the building and part.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.1.1.0.3,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Are unable to self-evacuate without assistance through requiring special care or treatment, or they are restrained, or their liberties are restricted (SI).","if(or(is(building.activity,or(care,detention)),is(building.riskGroup,si),and(has(building,part),or(is(part.activity,or(care,detention)),is(part.riskGroup,si))))),then(applyTo(nzbc_cas2,and(building,part)))","If either a buildings is either activity care or detention, or risk group SI, or parts of buildings is either activity care or detention, or risk group SI, then CAS2 applies to the building and part.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.1.1.0.4,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Congregate, participate in group activities or where professional services or retail are provided (CA).","if(or(is(building.activity,or(crowd,educational,personalService)),is(building.riskGroup,ca),and(has(building,part),or(is(part.activity,or(crowd,educational,personalService)),is(part.riskGroup,ca))))),then(applyTo(nzbc_cas2,and(building,part)))","If either a building is activity crowd, educational or personal service or risk group CA, or parts of a building are activity crowd, educational or personal service or risk group CA, then CAS2 applies to the building and part.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.1.1.0.5,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Work (WB - Business, professional services, industrial).","if(or(is(building.activity,or(business,professionalService,industrial)),is(building.riskGroup,wb),and(has(building,part),or(is(part.activity,or(business,professionalService,industrial)),is(part.riskGroup,wb))))),then(applyTo(nzbc_cas2,and(building,part)))","If either a building is activity business, professional service or industrial or risk group wb, or parts of buildings are activity business, professional service or industrial or risk group wb, then CAS2 applies to the building and part.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.1.1.0.6,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Store goods and other materials (WS - Storage and trade service).,"if(or(is(building.activity,or(storage,tradeService)),is(building.riskGroup,ws),and(has(building,part),or(is(part.activity,or(storage,tradeService)),is(part.riskGroup,ws))))),then(applyTo(nzbc_cas2,and(building,part)))","If either a buildings has activity storage or trade service or risk group ws, or parts of buildings has activity storage or trade service or risk group ws, then CAS2 applies to the building and part.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.1.1.0.7,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Park vehicles (VP).,"if(or(is(building.activity,vehicleParking),equal(building.riskGroup,vp),and(has(building,part),or(is(part.activity,vehicleParking),equal(part.riskGroup,vp))))),then(applyTo(nzbc_cas2,and(building,part)))","If a buildings or parts of buildings has activity vehicle parking or risk group VP, then CAS2 applies to the building and part.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.2.2.0.1,"1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular firecell within the building shall be that of the primary risk group. The primary risk group shall be that one within the firecell that has the most onerous fire safety requirements. ","if(greaterThan(count(building.activity),1)),then(obligation(and(has(building,firecell),is(firecell.riskGroup,primaryRiskGroup),has(building.firecell,riskGroups),define(max(riskgroups.fireSafetyRequirements),x0),is(primaryRiskGroup,x0))))","If a building contains a number of different activities, then the risk group designated for a particular firecell within the building shall be that of the primary risk group. The primary risk group shall be the firecell's risk group that has the maximum fire safety requirements. ",1,1,1.0,-1
NZ_NZBC-CAS2#1.1,2.3.6.0.1,2.3 Fire resistance ratings 2.3.6 Floors shall have an FRR for exposure from the underside.,"if(exist(floor)),then(obligation(has(floor.underside,fireResistanceRating)))","If a floor exists, then the underside of floors shall have an fire resistance ratings.",3,2,,-1
NZ_NZBC-CAS2#1.1,2.3.7.0.1,2.3 Fire resistance ratings 2.3.7 The FRR of a primary element integral with a fire separation shall be no less than that of the fire separation.,"if(and(is(element.type,primary),partOf(element,fireSeparation))),then(obligation(and(define(fireSeparation.fireResistanceRating,x0),greaterThanEqual(fireResistanceRating.element,x0))))","If a primary element is part of a fire separation, then the element's fire resistance ratings shall be no less than the fire resistance rating of the fire separation.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,2.3.11.0.1,2.3.11 Structural framing members connected to building elements with an FRR shall be rated at no less than the building elements to which they are connected. ,"if(and(has(building,structuralFramingMember),has(building,element),connect(building.structuralFramingMember,element),has(element,fireResistanceRating))),then(obligation(greaterThanEqual(structuralFramingMember.fireResistanceRating,fireResistanceRating)))","If the building's structural framing members and elements are connected and the element has a fire resistance rating, then the structural framing member's fire resistance rating shall be no less than the element's fire resistance rating.",2,1,,-1
NZ_NZBC-CAS2#1.1,3.1.1.0.1,3.1.1 All buildings shall have means of escape from fire which include escape routes. An escape route (see Figure 3.1) shall provide protection to any occupant escaping to a safe place from a fire within a building.,"if(exist(building)),then(obligation(and(has(building,meansOfEscapeFromFire),include(meansOfEscapeFromFire,escapeRoute),has(escapeRoute,fireProtection))))","If a building exists, then the building shall have means of escape from fire. The means of escape from fire includes escape routes. An escape route shall provide fire protection.",2,1,,-1
NZ_NZBC-CAS2#1.1,3.1.2.0.1,"3.1.2 The components of an escape route, in ascending order of protection, are the: a) Open paths, and b) Exitways, and c) Final exits (see Figure 3.1). Two or more of these components will be necessary.","if(include(escapeRoute.component,and(openPath,exitway,finalExit))),then(obligation(and(define(openPath.degreeOfProtection,x0),define(exitway.degreeOfProtection,x1),greaterThan(exitway.degreeOfProtection,x0),greaterThan(finalExit.degreeOfProtection,x1),greaterThanEqual(count(escapeRoute.component),2))))","If the component of an escape route includes Open paths, and Exitways, and Final exits, then the exitway's degree of protection shall be greater than the open path's degree of protection, and the final exit's degree of protection shall be greater than the exitway's degree of protection. Two or more of the escape route's components will be necessary.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,3.1.2.0.2,3.1.2 Exitways (these may comprise of smoke lobbies and safe paths).,"if(exist(exitway)),then(permission(include(exitway,or(smokeLobby,safePath))))","If an exitway exists, then the exitway may include smoke lobbies and safe paths.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,3.1.3.0.1,"3.1.3 Provided the allowable lengths of open paths (Table 3.2) are not exceeded, an escape route may comprise only an open path and final exit.","if(and(has(escapeRoute,openPath),asPer(openPath.length,nzbc_cas2_t3.2))),then(permission(is(escapeRoute,and(openPath,finalExit))))","If the lengths of the escape route's open paths are as described in C/AS2 Table 3.2, then an escape route may comprise only an open path and final exit.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,3.1.4.0.1,3.1.4 Escape routes shall comply with NZBC D1.,"if(exist(escapeRoute)),then(obligation(complyWith(escapeRoute,nzbc_d1)))","If escape routes exist, then the escape routes shall comply with NZBC D1.",2,2,,-1
NZ_NZBC-CAS2#1.1,3.1.4.0.2,"Ramps, stairs, ladders, landings, handrails, doors, vision panels and openings shall comply with Acceptable Solution D1/AS1.","if(is(building.element,or(ramp,stair,ladder,landing,handrail,door,visionPanel,opening))),then(obligation(complyWith(building.element,nzbc_d1as1)))","If the building's elements are ramps, stairs, ladders, landings, handrails, doors, vision panels and openings, then the building's element shall comply with D1/AS1.",2,1,,-1
NZ_NZBC-CAS2#1.1,3.2.1.0.1,"3.2.1 Except where Paragraph 3.13 allows the use of single escape routes, every occupied space in a building shall be served by two or more escape routes (see Figure 3.2).","if(and(greaterThan(space.occupantLoad,0),not(permission(and(asPer(count(space.escapeRoute),nzbc_cas2_3.13),equal(count(space.escapeRoute),1)))))),then(obligation(greaterThanEqual(count(space.escapeRoute),2)))","If the space's occupand load is greater 0 and C/AS2 3.13 does not allow the space to have single escape routes, then the spaces espace routes should be two ore more.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,4.1.1.0.1,"4.1.1 Adjoining firecells are required to be fire separated from each other by the highest: a) Life rating specified in Paragraph 2.3 if both firecells are under common ownership, or b) Property rating specified in Paragraph 2.3 if both firecells are under different ownership.","if(adjoin(firecells)),then(obligation(and(inBetween(fireSeparation,firecells),max(firecells.rating),or(and(define(max(firecells.lifeRating),x0),asPer(firecells.lifeRating,nzbc_cas2_2.3.0),is(fireSeparation.fireResistanceRating,x0),equal(firecells.owner)),and(define(max(firecells.propertyRating),x0),asPer(propertyRating,nzbc_cas2_2.3.0),is(fireSeparation.fireResistanceRating,x0),not(equal(firecells.owner)))))))","If multiple firecells are adjoining, then there shall be a fire separation between the firecells, the fire separation's fire resistance rating shall be either the highest life rating of the firecells as specified in C/AS2 Paragraph 2.3 and both firecells have the same owner, or the fire separation's fire resistance rating shall be the highest property rating of the firecells as specified in C/AS2 Paragraph 2.3 and both firecells have not the same owner.",2,1,,-1
NZ_NZBC-G12AS1#3.12,1.0.1.0.1,1.0.1 This acceptable solution applies to below ground and above ground piped water supply systems.,"if(is(pipedWaterSupplySystem.type,or(belowGround,aboveGround))),then(applyTo(nzbc_g12as1,pipedWaterSupplySystem))","If a piped water supply systems is below ground or above ground, then G12/AS1 applies to the piped water supply systems.",3,1,,-1
NZ_NZBC-G12AS1#3.12,2.1.1.0.1,Piped water supply systems 2.1.1 Components of the water supply system shall not contaminate potable water.,"if(has(pipedWaterSupplySystem,component)),then(obligation(and(not(cause(component,contamination)),is(contamination.type,potableWater))))","If piped water supply system have components, then the components shall not cause contamination of potable water.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,2.2.1.0.1,Piped water supply systems 2.2.1 Pipe and pipe fitting materials shall comply with Table 1.,"if(for(material,or(pipe,pipeFitting))),then(obligation(complyWith(material,nzbc_g12as1_t1)))","If materials are for pipe and pipe fitting, then the materials shall comply with G12/AS1 Table 1.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,5.2.1.0.1,Water tanks in roof spaces shall be located and supported as detailed in Figure 4.,"if(within(waterTank,roofSpace)),then(obligation(and(asPer(waterTank.location,nzbc_g12as1_f4),asPer(waterTank.support,nzbc_g12as1_f4))))","If water tanks are in roof spaces, then the water tanks shall be located and supported as detailed in G12/AS1 Figure 4.",1,0,0.0,-1
NZ_NZBC-G12AS1#3.12,5.2.4.0.1.a.1,Piped water supply system 5.2.4 Covers; Covers shall be provided to: a) Potable water tanks to prevent contamination and the entry of vermin.,"if(has(pipedWaterSupplySystem,potableWaterTank)),then(obligation(has(potableWaterTank,cover)))","If a piped water supply system has a potable water tank, then the potable water tank shall have a cover.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,5.2.4.0.1.b.1,Piped water supply system; Covers shall be provided to: All tanks located in roof spaces to prevent condensation damaging building elements.,"if(and(has(pipedWaterSupplySystem,waterTank),within(waterTank.location,roofSpace))),then(obligation(has(waterTank,cover)))","If a piped water supply system has a water tank and the water tank is located in roof spaces, then the water tank shall have a cover.",3,1,,-1
NZ_NZBC-G12AS1#3.12,5.2.5.0.1,Covers to water tanks shall be removable or shall contain a covered opening to allow access for inspection and maintenance. A minimum height clearance of 350 mm above the opening is necessary for easy access.,"if(has(waterTank,cover)),then(obligation(or(is(cover,removable),and(has(cover,coveredOpening),above(coveredOpening,heightClearance),greaterThanEqual(heightClearance,350 mm)))))","If water tanks have covers, then the cover shall be removable or shall have a covered opening. A minimum height clearance of 350 mm above the opening is necessary.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,5.2.7.0.1,Structural support; The method illustrated in Figure 4 is acceptable for water tanks up to 150 litre capacity and the maximum height to breadth ratio of 1:1.,"if(and(has(pipedWaterSupplySystem,waterTank),lessThanEqual(waterTank.capacity,150 l),lessThanEqual(waterTank.heightToBreadthRatio,1/1))),then(permission(asPer(waterTank.structuralSupport,nzbc_g12as1_f4)))","If a water tank has up to 150 litre capacity and the maximum height to breadth ratio of 1:1, then the structural support method illustrated in G12/AS1 Figure 4 is acceptable.",1,2,,-1
NZ_NZBC-G12AS1#3.12,5.3.1.0.1,"5.3.1 Pipe sizing; Pipes shall be sized: a) To achieve the flow rates given in Table 3, or b) Using the sizes given in Table 4.","if(exist(pipe)),then(obligation(or(and(cause(pipe.size,flowRate),asPer(flowRate,nzbc_g12as1_t3)),asPer(pipe.size,nzbc_g12as1_t4))))","If pipes exist, then the pipes shall be sized to achieve the flow rates given in G12/AS1 Table 3, or the pipes shall use the sizes given in G12/AS1 Table 4.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,5.4.3.0.1,5.4.3 Provision shall be made for draining storage water heaters in accordance with Figure 7.,"if(exist(storageWaterHeater)),then(obligation(asPer(storageWaterHeater.drain,nzbc_g12as1_f7)))","If storage water heaters exist, then the storage water heaters shall be drained in accordance with G12/AS1 Figure 7.",3,1,,-1
NZ_NZBC-G12AS1#3.12,6.1.1.0.1,6.1.1 Water heaters shall comply with Table 5.,"if(exist(waterHeater)),then(obligation(complyWith(waterHeater,nzbc_g12as1_t5)))","If water heaters exist, then the water heaters shall comply with G12/AS1 Table 5.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,6.2.1.0.1,"6.2.1 Storage water heaters shall be supplied with cold water at a pressure not exceeding their working pressure by means of a: a) Water tank, b) Pressure reducing valve, c) Pressure limiting valve, or d) Mains pressure supply.","if(exist(storageWaterHeater)),then(obligation(and(has(storageWaterHeater,coldWaterSupply),define(storageWaterHeater.workingPressure,x0),lessThanEqual(coldWaterSupply.pressure,x0),by(coldWaterSupply,or(waterTank,pressureReducingValve,pressureLimitingValve,mainsPressureSupply)))))","If a storage water heater exists, then the storage water heater shall have cold water supply at a pressure not exceeding the storage water heaters working pressure by means of a: a) Water tank, b) Pressure reducing valve, c) Pressure limiting valve, or d) Mains pressure supply.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,6.2.2.0.1,"6.2.2 Storage water heaters supplied by other than a water tank shall include a non-return valve as shown in Figures 7, 8, 9 and 10 to prevent the storage water heater emptying and hot water flowing into the cold water supply and thence from the cold water taps.","if(and(has(storageWaterHeater,waterSupply),not(by(waterSupply,waterTank)))),then(obligation(and(has(storageWaterHeater,nonReturnValve),asPer(nonReturnValve,and(nzbc_g12as1_f7,nzbc_g12as1_f8,nzbc_g12as1_f9,nzbc_g12as1_f10)))))","If storage water heaters have water supply not by a water tank, then the storage water heaters shall include a non-return valve as shown in G12/AS1 Figures 7, 8, 9 and 10.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,6.3.1.0.1,6.3.1 Electric and gas storage water heaters shall have their temperature controlled by a thermostat on each heating unit.,"if(is(storageWaterHeater.type,or(electric,gas))),then(obligation(loop(forEach(storageWaterHeater.heatingUnit),has(heatingUnit,thermostat))))","If storage water heaters are of type electric or gas, then for each heating unit of the storage water heater, the storage water heaters shall have a thermostat.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,6.3.2.0.1,6.3.2 Open vented storage water heaters shall have a vent pipe complying with Paragraph 6.8.,"if(is(storageWaterHeater.type,openVented)),then(obligation(and(has(storageWaterHeater,ventilationPipe),complyWith(ventilationPipe,nzbc_g12as1_6.8))))","If storage water heaters are type open vented, then the storage water heaters shall have a ventilation pipe complying with G12/AS1 Paragraph 6.8.",2,1,,-1
NZ_NZBC-G12AS1#3.12,6.3.3.0.1,"Water heater system 6.3.3 Valve vented (unvented) systems shall have: a) An expansion control valve b) A vacuum relief valve to prevent collapse of the storage water heater where it is not designed to withstand a full vacuum, and c) Valves complying with Table 6.","if(is(waterHeaterSystem.type,or(valveVented,unvented))),then(obligation(and(has(waterHeaterSystem,expansionControlValve),or(has(waterHeaterSystem,vacuumReliefValve),for(waterHeaterSystem.design,withstandFullVacuum)),complyWith(waterHeaterSystem.valve,nzbc_g12as1_t6))))","If water heater system are type valve vented or unvented, then the water heater system shall have: a) An expansion control valve b) A vacuum relief valve or a design to withstand a full vacuum, and c) Valves complying with G12/AS1 Table 6.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,6.4.2.0.1,6.4.2 Free outlet (push through) water heaters shall have a relief valve.,"if(is(waterHeater.type,or(freeOutlet,pushThrough))),then(obligation(has(waterHeater,reliefValve)))","If water heaters are type free outlet or push through, then the water heaters shall have a relief valve.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,3.4.1.0.1,3.4.1 Backflow protection shall be provided where it is possible for water or contaminants to backflow into the potable water supply system.,"if(and(is(waterSupplySystem.type,potable),is(waterSupplySystem.backflow,or(water,contaminant)),is(waterSupplySystem.backflow,possible))),then(obligation(has(waterSupplySystem,backflowProtection)))","If in a potable water supply system backflow of water or contaminants is possible, then the water supply system shall have backflow protection.
",1,1,1.0,0
NZ_NZBC-G12AS1#3.12,3.4.5.0.1,Water supply system 3.4.5 The selection of the appropriate backflow protection for the cross connection hazard is given in Table 2.,"if(has(waterSupplySystem,crossConnectionHazard)),then(obligation(asPer(waterSupplySystem.backflowProtection,nzbc_g12as1_t2)))","If a water supply system has cross connection hazard, then the water supply system's backflow protection is given in G12/AS1 Table 2.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,3.4.6.0.1,3.4.6 All backflow prevention devices must be testable in service to verify effective performance.,"if(exist(backflowPreventionDevice)),then(obligation(is(backflowPreventionDevice,testableInService)))","If backflow prevention devices exist, then the backflow prevention devices must be testable in service.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,3.5.2.0.1,Water supply system. Backflow protection. Air gap. 3.5.2 To ensure the air gap distance is maintained the overflow pipe discharge flow rate shall be no less than the inlet pipe flow rate.,"if(is(waterSupplySystem.backflowProtection,airGap)),then(obligation(and(has(waterSupplySystem.overflowPipe,discharge),define(discharge.flowRate,x0),has(waterSupplySystem,inletPipe),define(inletPipe.flowRate,x1),greaterThanEqual(x0,x1))))","If the water supply system's backflow protection is an air gap, then the overflow pipe discharge flow rate shall be no less than the inlet pipe flow rate.",1,2,1.0,1
NZ_NZBC-G12AS1#3.12,3.5.4.0.1,"3.5.4 Where any fixture or tank has more than one supply pipe, the air gap separation shall be the greater of 25 mm or twice the sum of the inlet pipe diameters and shall also comply with Paragraph 3.5.2.","if(or(and(has(fixture,inletPipe),greaterThan(count(fixture.inletPipe),1)),and(has(tank,inletPipe),greaterThan(count(tank.inletPipe),1)))),then(obligation(and(define(sum(inletPipes.diameter),x0),greaterThan(airGapSeparation,and(25 mm,'2 * x0')),complyWith(airGapSeparation,nzbc_g12as1_3.5.2))))","If any fixture or tank has more than one inlet pipe, then the air gap separation shall be greater than 25 mm and greater than twice the sum of the inlet pipe diameters and shall also comply with G12/AS1 3.5.2.",1,1,0.0,-1
NZ_NZBC-G12AS1#3.12,3.6.2.0.1.a.1,3.6.2 Manufacture; Backflow prevention devices shall be manufactured as follows: a) Reduced pressure zone devices to AS/NZS 2845.1 Section 12 (see Figure 2 (a)).,"if(is(backflowPreventionDevice,reducedPressureZoneDevice)),then(obligation(complyWith(backflowPreventionDevice.manufacturing,nzs_2845_1_12)))","If a backflow prevention device is a reduced pressure zone device, then the backflow prevention device shall be manufactured to AS/NZS 2845.1 Section 12.",2,1,,-1
